,Stations,Altitude (m),Annual average,Average maximums,Average minimums,Outright maximum,Outright minimum,Year
Garrigues,la Granadella,505,14.1,20.5,8.2,37.3,-6.8,2017
Garrotxa,Olot,433,13.5,21.3,6.6,3.7,-8.5,2017
Gironès,Girona,72,14.7,23.1,7.3,38.4,-8.1,2017
Maresme,Cabrils,81,16.5,2.1,12.4,33.7,-0.2,2017
Moianès,Moià,735,13.7,18.7,8.6,35.1,-6,2017
Montsià,Amposta,3,16.5,21.3,12.4,3.4,0.6,2017
Noguera,Vallfogona de Balaguer,238,14.2,21.6,7.7,37.8,-8.7,2017
Osona,Gurb,509,12.9,2.1,6.3,39.2,-8.1,2017
Pallars Jussà,la Pobla de Segur,508,13.3,21.4,6.6,38.3,-8.5,2017
Pallars Sobirà,Sort,679,1.2,20.4,4.9,36.3,-8.1,2017
Pla d'Urgell,Mollerussa,247,14.2,21.7,7.2,38.2,-9.1,2017
Pla de l'Estany,Banyoles,176,15.6,22.1,10.1,37.7,-0.5,2017
Priorat,Falset,359,15.4,21.7,10.2,39.5,-6.1,2017
Ribera d'Ebre,Vinebre,53,16.5,24.1,9.8,41.7,-0.6,2017
Ripollès,Sant Pau de Segúries,852,10.5,18.2,4.1,34.9,-10.9,2017
Segarra,Cervera,554,13.6,19.9,8.2,3.7,-8.3,2017
Segrià,Raimat,286,1.4,21.2,7.7,38.7,-8.3,2017
Selva,Anglès,150,14.7,22.6,7.6,37.8,-7.9,2017
Solsonès,Pinós,659,12.6,19.2,0.7,36.7,-8.5,2017
Tarragonès,Tarragona - Complex Educatiu,5,17.3,22.3,12.5,36.4,-3.3,2017
Terra Alta,Horta de St. Joan,515,14.9,21.2,9.5,37.9,-0.5,2017
Urgell,Tàrrega,427,14.7,21.4,0.9,38.6,-7.2,2017
Vallès Occidental,Sabadell - Parc Agrari,258,15.4,21.7,9.4,37.7,-4.9,2017
Vallès Oriental,Caldes de Montbui,176,14.9,21.9,8.5,36.6,-6.2,2017
Alt Camp,Vila-rodona,287,15.7,21.3,11.1,38.5,-1.5,2018
Alt Empordà,Roses,24,17.1,22.4,1.2,39.3,-2.4,2018
Alt Penedès,la Granada,240,15.2,21.3,10.2,38.5,-1.8,2018
Alt Urgell,la Seu d'Urgell,849,11.7,1.9,5.9,36.7,-10.4,2018
Alta Ribagorça,el Pont de Suert,823,10.1,18.9,3.6,35.9,-11.7,2018
Anoia,els Hostalets de Pierola,316,15.4,21.7,10.7,38.8,-2.3,2018
Aran,Vielha e Mijaran,1002,9.6,16.1,4.9,32.1,-10.2,2018
Bages,Sant Salvador de Guardiola,349,13.7,21.3,7.5,3.9,-6.6,2018
Baix Camp,Vinyols i els Arcs,29,1.7,21.8,12.2,37.8,-0.2,2018
Baix Ebre,El Perelló,179,16.4,21.6,12.4,39.2,-0.1,2018
Baix Empordà,la Bisbal d'Empordà,29,15.6,22.2,9.5,37.4,-0.4,2018
Baix Llobregat,el Prat de Llobregat,8,16.7,22.4,1.2,39.2,-0.3,2018
Baix Penedès,el Vendrell,59,16.6,22.5,11.4,38.6,-1.9,2018
Barcelonès,Barcelona - el Raval,33,18.2,21.6,15.4,36.9,0.1,2018
Berguedà,la Quar,873,11.7,18.4,7.2,35.9,-8.2,2018
Cerdanya,Puigcerdà,1213,9.3,16.3,3.7,31.1,-14.8,2018
Conca de Barberà,l'Espluga de Francolí,446,14.3,20.3,0.9,38.2,-3.9,2018
Garraf,Canyelles,148,15.7,21.4,10.5,37.7,-2.3,2018
Garrigues,la Granadella,505,14.3,20.3,8.9,38.4,-4.8,2018
Garrotxa,Olot,433,13.3,20.6,0.7,36.3,-8.1,2018
Gironès,Girona,72,14.8,22.5,0.8,38.1,-5.7,2018
Maresme,Cabrils,81,16.5,20.9,12.6,35.2,-0.3,2018
Moianès,Moià,:,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,2018
Montsià,Amposta,3,16.9,21.5,12.8,34.7,0.3,2018
Noguera,Vallfogona de Balaguer,238,14.5,21.3,8.6,37.2,-5.8,2018
Osona,Gurb,509,12.6,19.7,7.1,36.1,-6.1,2018
Pallars Jussà,la Pobla de Segur,508,12.8,19.9,7.2,36.7,-6.5,2018
Pallars Sobirà,Sort,679,11.7,19.1,5.7,35.6,-7.7,2018
Pla d'Urgell,Mollerussa,247,14.6,21.4,8.4,38.7,-6.8,2018
Pla de l'Estany,Banyoles,176,15.6,21.6,10.5,3.8,-3.9,2018
Priorat,Falset,359,15.1,21.3,10.2,39.5,-3.9,2018
Ribera d'Ebre,Vinebre,53,16.6,23.7,10.6,41.6,-4.8,2018
Ripollès,Sant Pau de Segúries,852,10.4,17.2,4.8,31.5,-1.1,2018
Segarra,Cervera,554,13.5,19.3,8.7,37.1,-5.4,2018
Segrià,Raimat,286,14.4,20.8,8.6,37.2,-6.5,2018
Selva,Anglès,150,1.5,22.3,8.8,39.2,-5.5,2018
Solsonès,Pinós,659,12.3,18.1,7.4,35.3,-7.6,2018
Tarragonès,Tarragona - Complex Educatiu,5,17.5,22.4,12.9,39.5,-0.3,2018
Terra Alta,Horta de St. Joan,515,14.6,20.6,9.7,37.8,-3.5,2018
Urgell,Tàrrega,427,14.5,20.8,9.5,38.3,-4.8,2018
Vallès Occidental,Sabadell - Parc Agrari,258,15.3,21.2,9.9,3.8,-3.1,2018
Vallès Oriental,Caldes de Montbui,176,15.2,21.8,9.4,37.6,-3.7,2018
Alt Camp,Vila-rodona,287,16,21.8,10.6,38.6,-0.4,2019
Alt Empordà,Roses,24,17,22.1,11.6,40.9,-1.4,2019
Alt Penedès,la Granada,240,15,21.9,9.5,38.4,-1.6,2019
Alt Urgell,la Seu d'Urgell,849,12,20.2,5.3,39,-7.1,2019
Alta Ribagorça,el Pont de Suert,823,10,20,2.8,38.3,-9.4,2019
Anoia,els Hostalets de Pierola,316,16,22.5,10.4,39.8,-2.1,2019
Aran,Vielha e Mijaran,1002,10,16.5,4.7,36.5,-10,2019
Bages,Sant Salvador de Guardiola,349,14,22.3,6.7,42.9,-6.8,2019
Baix Camp,Vinyols i els Arcs,29,17,22.1,11.5,34.4,-1.9,2019
Baix Ebre,El Perelló,179,17,22.2,12.3,38.6,-1.6,2019
Baix Empordà,la Bisbal d'Empordà,29,15,22.3,8.8,40.3,-3.1,2019
Baix Llobregat,el Prat de Llobregat,8,16,22.3,11.2,35.2,-0.3,2019
Baix Penedès,el Vendrell,59,16,22.7,10.5,37.1,-3.7,2019
Barcelonès,Barcelona - el Raval,33,18,21.6,15.2,36.7,3.2,2019
Berguedà,la Quar,873,12,19.8,7,41.5,-6.1,2019
Cerdanya,Puigcerdà,1213,10,17.3,3.6,35,-9.5,2019
Conca de Barberà,l'Espluga de Francolí,446,14,20.7,8.3,39.9,-3.4,2019
Garraf,Canyelles,148,16,21.7,9.8,37.3,-3.3,2019
Garrigues,la Granadella,505,15,20.5,8.6,40.6,-5.7,2019
Garrotxa,Olot,433,14,21.6,6.4,42.2,-7.1,2019
Gironès,Girona,72,15,23,7.2,43.3,-7.9,2019
Maresme,Cabrils,81,16,20.8,12.1,33.9,0.6,2019
Moianès,Moià,..,..,..,..,..,..,2019
Montsià,Amposta,3,17,21.8,12.9,32.9,1.6,2019
Noguera,Vallfogona de Balaguer,238,14,21.9,7.6,40.7,-7.1,2019
Osona,Gurb,509,13,21.2,6.3,42.7,-7.3,2019
Pallars Jussà,la Pobla de Segur,508,13,21.3,6.5,40.2,-6.9,2019
Pallars Sobirà,Sort,679,12,20.3,5.2,37.4,-7,2019
Pla d'Urgell,Mollerussa,247,15,21.8,7.7,42.1,-5.7,2019
Pla de l'Estany,Banyoles,176,16,22.2,10.2,41.2,-3.5,2019
Priorat,Falset,359,15,21.8,10,40.5,-5,2019
Ribera d'Ebre,Vinebre,53,17,24.1,9.8,43.5,-4.6,2019
Ripollès,Sant Pau de Segúries,852,11,18.1,4.1,37.4,-9,2019
Segarra,Cervera,554,14,19.8,8.4,40.4,-5.6,2019
Segrià,Raimat,286,14,21.2,7.7,40.6,-7,2019
Selva,Anglès,150,15,22.9,7.7,43.2,-7.1,2019
Solsonès,Solsona,691,13,21,6.4,41.7,-6.1,2019
Tarragonès,Tarragona - Complex Educatiu,5,17,22.2,12.4,33.2,-1.1,2019
Terra Alta,Horta de St. Joan,515,15,21.2,9.6,40.4,-2.9,2019
Urgell,Tàrrega,427,15,20.9,9.2,42,-5,2019
Vallès Occidental,Sabadell - Parc Agrari,258,15,21.7,9.3,41.3,-4.7,2019
Vallès Oriental,Caldes de Montbui,176,15,22.3,9,42.3,-5.8,2019
Alt Camp,Vila-rodona,287,16,21.6,10.9,36.3,0.1,2020
Alt Empordà,Roses,24,17,21.8,11.6,37.2,-2.6,2020
Alt Penedès,la Granada,240,16,21.7,10.1,36.5,0,2020
Alt Urgell,la Seu d'Urgell,849,12,19.5,5.9,36.6,-6.1,2020
Alta Ribagorça,el Pont de Suert,823,11,19.6,3.7,36.1,-8.6,2020
Anoia,els Hostalets de Pierola,316,16,22.3,10.7,38.3,-0.6,2020
Aran,Vielha e Mijaran,1002,10,17.2,5.5,35.7,-9.1,2020
Bages,Sant Salvador de Guardiola,349,14,21.8,7.6,39.3,-5.3,2020
Baix Camp,Vinyols i els Arcs,29,17,22.1,11.9,34.6,-2.6,2020
Baix Ebre,El Perelló,179,17,22.1,12.6,35.8,-1.3,2020
Baix Empordà,la Bisbal d'Empordà,29,15,22.2,9.3,37.5,-4,2020
Baix Llobregat,el Prat de Llobregat,8,17,22.5,11.6,35.1,0.7,2020
Baix Penedès,el Vendrell,59,17,22.9,10.9,35.9,-2.1,2020
Barcelonès,Barcelona - el Raval,33,18,21.7,15.5,32.8,4.7,2020
Berguedà,la Quar,873,12,18.8,7.6,36.4,-4.8,2020
Cerdanya,Puigcerdà,1213,10,17.2,4.1,33.8,-8.1,2020
Conca de Barberà,l'Espluga de Francolí,446,14,20.3,8.6,38,-2.8,2020
Garraf,Canyelles,148,16,21.7,10.3,35.4,-2.2,2020
Garrigues,la Granadella,505,14,20.2,8.9,39.4,-3.9,2020
Garrotxa,Olot,433,14,20.8,7.2,35.9,-4.8,2020
Gironès,Girona,72,15,22.6,8.3,37.5,-5.5,2020
Maresme,Cabrils,81,17,21,12.5,33.3,1.8,2020
Moianès,Moià,..,..,..,..,..,..,2020
Montsià,Amposta,3,17,21.6,13.2,32.7,1.6,2020
Noguera,Vallfogona de Balaguer,238,15,21.8,8.5,39.7,-4.6,2020
Osona,Gurb,509,13,20.6,7.2,37.9,-4.9,2020
Pallars Jussà,la Pobla de Segur,508,13,20.7,7.1,37.9,-6.4,2020
Pallars Sobirà,Sort,679,12,19.7,5.7,35,-6.2,2020
Pla d'Urgell,Mollerussa,247,15,21.5,8.5,39.4,-4,2020
Pla de l'Estany,Banyoles,176,16,21.7,10.6,38.2,-2.2,2020
Priorat,Falset,359,15,21.7,10.3,37.6,-4.2,2020
Ribera d'Ebre,Vinebre,53,17,23.6,10.4,40.3,-2.8,2020
Ripollès,Sant Pau de Segúries,852,11,17.3,5,32.9,-7.1,2020
Segarra,Cervera,554,14,19.5,8.8,38.7,-5.1,2020
Segrià,Raimat,286,14,20.8,8.8,39.4,-4.8,2020
Selva,Anglès,150,15,22.4,9.1,37.5,-3.2,2020
Solsonès,Solsona,691,13,20.5,7,39.3,-4.1,2020
Tarragonès,Tarragona - Complex Educatiu,5,17,22.1,12.9,34.3,0.1,2020
Terra Alta,Horta de St. Joan,515,15,20.7,9.7,38.1,-2.9,2020
Urgell,Tàrrega,427,15,20.6,9.6,40.1,-5.6,2020
Vallès Occidental,Sabadell - Parc Agrari,258,15,21.5,9.6,37.2,-2.4,2020
Vallès Oriental,Caldes de Montbui,176,16,22.1,9.5,36.5,-2.7,2020
Alt Camp,Vila-rodona,287,16,21.3,10.8,37.9,-1.2,2021
Alt Empordà,Roses,24,17,21.4,11.7,37.6,-3.8,2021
Alt Penedès,la Granada,240,15,21.3,10,37.5,-3.2,2021
Alt Urgell,la Seu d'Urgell,849,12,19.5,5.4,39.8,-10.1,2021
Alta Ribagorça,el Pont de Suert,823,10,19.1,2.9,38.4,-13.2,2021
Anoia,els Hostalets de Pierola,316,16,22.2,10.5,39.3,-3.7,2021
Aran,Vielha e Mijaran,1002,10,16.4,4.7,37.1,-10.3,2021
Bages,Sant Salvador de Guardiola,349,14,21.9,7.2,41.6,-6.7,2021
Baix Camp,Vinyols i els Arcs,29,17,21.6,11.8,34.8,-3,2021
Baix Ebre,El Perelló,179,16,21.2,12.3,36.3,-0.3,2021
Baix Empordà,la Bisbal d'Empordà,29,15,21.8,9.1,38.8,-4.8,2021
Baix Llobregat,el Prat de Llobregat,8,16,22.1,11.2,35.7,-2.6,2021
Baix Penedès,el Vendrell,59,16,22.2,10.8,35.3,-3.5,2021
Barcelonès,Barcelona - el Raval,33,18,21,15.2,35,3.6,2021
Berguedà,la Quar,873,12,18.8,7.1,39.8,-6,2021
Cerdanya,Puigcerdà,1213,10,16.8,3.5,36,-11.7,2021
Conca de Barberà,l'Espluga de Francolí,446,14,19.9,8.4,38.7,-5,2021
Garraf,Canyelles,148,16,21.4,10.2,36.5,-3.2,2021
Garrigues,la Granadella,505,14,19.6,8.5,39,-5.4,2021
Garrotxa,Olot,433,13,20.5,6.7,38,-7.6,2021
Gironès,Girona,72,15,22.3,7.7,38.7,-6,2021
Maresme,Cabrils,81,16,20.4,12.3,32.2,0.3,2021
Moianès,Moià,..,..,..,..,..,..,2021
Montsià,Amposta,3,17,21,13,37.6,0.1,2021
Noguera,Vallfogona de Balaguer,238,14,21.5,8.1,39.2,-6.2,2021
Osona,Gurb,509,13,20.9,6.6,42.5,-7.4,2021
Pallars Jussà,la Pobla de Segur,508,13,20.6,6.5,41.8,-9.3,2021
Pallars Sobirà,Sort,679,12,19.6,5.1,37.8,-8.8,2021
Pla d'Urgell,Mollerussa,247,14,21.2,7.9,39.2,-7.7,2021
Pla de l'Estany,Banyoles,176,15,21.4,10.3,40,-2.6,2021
Priorat,Falset,359,15,20.9,9.8,39.4,-5.4,2021
Ribera d'Ebre,Vinebre,53,16,22.9,10.1,40.7,-7.4,2021
Ripollès,Sant Pau de Segúries,852,10,16.8,4.9,33.6,-11,2021
Segarra,Cervera,554,13,19.3,8.4,41.2,-6.7,2021
Segrià,Raimat,286,14,20.6,7.9,37.7,-8.4,2021
Selva,Anglès,150,15,22.1,8.6,40.6,-4.2,2021
Solsonès,Solsona,691,13,20.6,6.6,41.7,-8.6,2021
Tarragonès,Tarragona - Complex Educatiu,5,17,21.5,12.8,34.5,-2.1,2021
Terra Alta,Horta de St. Joan,515,14,20,9.4,39.6,-2.3,2021
Urgell,Tàrrega,427,14,20.4,9.2,41.2,-7.2,2021
Vallès Occidental,Sabadell - Parc Agrari,258,15,21.1,9.4,38,-4.6,2021
Vallès Oriental,Caldes de Montbui,176,15,21.8,9.2,37.9,-5.1,2021
