,Fires,Affected area (ha). With trees,Affected area (ha). With scrub,Affected area (ha). Total,Year
Conca de Barberà,23,17.8,13.6,31.4,2004
Garraf,3,0.4,0.1,0.5,2004
Garrigues,9,2,1.4,3.4,2004
Garrotxa,2,0,0,0,2004
Gironès,21,3.7,11.5,15.2,2004
Maresme,10,0.4,5.9,6.4,2004
Montsià,13,0,64.8,64.8,2004
Noguera,30,2.3,21,23.3,2004
Osona,8,0,3.4,3.4,2004
Pallars Jussà,10,3.3,21.7,24.9,2004
Pallars Sobirà,8,0.5,2.3,2.8,2004
Pla d'Urgell,0,0,0,0,2004
Pla de l'Estany,12,0.1,0.6,0.7,2004
Priorat,17,1.1,12,13,2004
Ribera d'Ebre,16,0.8,1.4,2.3,2004
Ripollès,4,0,0.8,0.8,2004
Segarra,10,5.8,12.6,18.4,2004
Segrià,36,35.2,26.7,61.9,2004
Selva,26,0.9,0.8,1.7,2004
Solsonès,8,0,1.3,1.3,2004
Tarragonès,3,1.5,4.5,6,2004
Terra Alta,11,0.5,1.5,2,2004
Urgell,3,0,3.3,3.3,2004
Val d'Aran,3,0,32,32,2004
Vallès Occidental,21,0.7,6.5,7.1,2004
Vallès Oriental,23,0.1,2.4,2.5,2004
Alt Camp,5,5.2,4.7,9.9,2005
Alt Empordà,34,6.6,10.8,17.5,2005
Alt Penedès,48,10,11.1,21.1,2005
Alt Urgell,23,23.2,27.4,50.5,2005
Alta Ribagorça,4,0,5.9,5.9,2005
Anoia,29,3.9,7.3,11.3,2005
Bages,59,1975.1,445.4,2420.6,2005
Baix Camp,25,57.5,118.6,176.1,2005
Baix Ebre,22,31.4,124.2,155.5,2005
Baix Empordà,28,9.5,0.1,9.6,2005
Baix Llobregat,48,74.7,95.9,170.6,2005
Baix Penedès,23,22.4,13.9,36.2,2005
Barcelonès,18,0.6,14.8,15.4,2005
Berguedà,28,390.3,81.9,472.2,2005
Cerdanya,7,0,2.2,2.2,2005
Conca de Barberà,32,16.7,6.9,23.6,2005
Garraf,7,0.7,0.1,0.8,2005
Garrigues,37,106.4,96.5,202.9,2005
Garrotxa,5,0.4,3.3,3.7,2005
Gironès,24,5.2,1.3,6.4,2005
Maresme,23,7.6,2.4,9.9,2005
Montsià,2,0,12.4,12.4,2005
Noguera,31,38.1,24.2,62.3,2005
Osona,29,3,4.2,7.2,2005
Pallars Jussà,23,12.8,40.6,53.4,2005
Pallars Sobirà,10,0.3,61.3,61.6,2005
Pla d'Urgell,0,0,0,0,2005
Pla de l'Estany,13,0.2,0.3,0.6,2005
Priorat,25,108.9,59.9,168.8,2005
Ribera d'Ebre,27,385.2,354.5,739.8,2005
Ripollès,5,0.5,0.8,1.3,2005
Segarra,6,1,3.2,4.2,2005
Segrià,36,28.8,30.8,59.6,2005
Selva,22,82.5,0.4,82.9,2005
Solsonès,11,10.9,2.3,13.2,2005
Tarragonès,7,0.4,1.2,1.5,2005
Terra Alta,25,61.5,67.8,129.3,2005
Urgell,7,0.4,0.5,0.9,2005
Val d'Aran,4,0,26.2,26.2,2005
Vallès Occidental,45,87,124.7,211.7,2005
Vallès Oriental,35,33,2.1,35.1,2005
Alt Camp,12,6.9,2.4,9.3,2006
Alt Empordà,58,672.7,278.6,951.3,2006
Alt Penedès,23,4.2,3.3,7.4,2006
Alt Urgell,10,95.2,0,95.3,2006
Alta Ribagorça,3,0,1.5,1.5,2006
Anoia,17,19.6,4.2,23.8,2006
Bages,44,34.1,3,37.1,2006
Baix Camp,13,133.3,1100.3,1233.5,2006
Baix Ebre,15,3.4,5.4,8.8,2006
Baix Empordà,28,579.3,8.9,588.2,2006
Baix Llobregat,32,3.4,5.1,8.4,2006
Baix Penedès,12,24.8,25.7,50.5,2006
Barcelonès,22,0.9,30.3,31.2,2006
Berguedà,12,0.7,0.6,1.3,2006
Cerdanya,4,0.1,0.4,0.5,2006
Conca de Barberà,9,117.1,10.2,127.3,2006
Garraf,3,2.7,4.1,6.8,2006
Garrigues,15,5.6,14.1,19.6,2006
Garrotxa,3,0,0,0,2006
Gironès,37,5.7,6,11.8,2006
Maresme,8,2.5,3.4,5.9,2006
Montsià,2,0,3.1,3.1,2006
Noguera,17,17,14.9,31.9,2006
Osona,19,6.3,3.3,9.6,2006
Pallars Jussà,8,0.3,6.5,6.9,2006
Pallars Sobirà,11,0.8,0.6,1.4,2006
Pla d'Urgell,0,0,0,0,2006
Pla de l'Estany,14,5.6,0.5,6.1,2006
Priorat,12,2.7,3.3,6,2006
Ribera d'Ebre,10,4,0.5,4.5,2006
Ripollès,6,0.1,0,0.1,2006
Segarra,4,0.6,0.4,1,2006
Segrià,31,9,13.1,22.1,2006
Selva,19,1.2,0.6,1.8,2006
Solsonès,6,27.8,0,27.8,2006
Tarragonès,8,0.3,30.9,31.2,2006
Terra Alta,8,1,0.1,1.1,2006
Urgell,2,0,0.1,0.1,2006
Val d'Aran,3,2.1,6,8.1,2006
Vallès Occidental,47,5.5,2,7.5,2006
Vallès Oriental,22,14.2,1.1,15.3,2006
Alt Camp,13,10,6.3,16.4,2007
Alt Empordà,42,10,9.4,19.5,2007
Alt Penedès,23,7.8,4.4,12.1,2007
Alt Urgell,5,0.5,0.1,0.6,2007
Alta Ribagorça,1,0.1,0,0.1,2007
Anoia,16,1.3,2.9,4.3,2007
Bages,52,251.8,23.3,275.1,2007
Baix Camp,23,39.5,331.9,371.4,2007
Baix Ebre,14,7.5,15.5,22.9,2007
Baix Empordà,33,6.7,1.6,8.2,2007
Baix Llobregat,20,0.6,9.8,10.4,2007
Baix Penedès,5,4.3,2.7,7,2007
Barcelonès,14,0.6,11.3,11.9,2007
Berguedà,13,1.1,23.7,24.8,2007
Cerdanya,3,1.2,0.6,1.8,2007
Conca de Barberà,11,2.9,1.2,4.1,2007
Garraf,2,0,0.2,0.2,2007
Garrigues,16,2.9,2.5,5.4,2007
Garrotxa,14,0.1,1.5,1.5,2007
Gironès,41,2.5,2,4.5,2007
Maresme,11,8,1.8,9.7,2007
Montsià,9,0,37.8,37.8,2007
Noguera,7,10,1,11,2007
Osona,10,1.2,3.5,4.7,2007
Pallars Jussà,8,1.4,6.4,7.8,2007
Pallars Sobirà,4,0,2.3,2.3,2007
Pla d'Urgell,0,0,0,0,2007
Pla de l'Estany,13,1,0.4,1.4,2007
Priorat,8,334.3,68,402.3,2007
Ribera d'Ebre,12,38.3,83.1,121.4,2007
Ripollès,2,28.5,52.3,80.8,2007
Segarra,8,7.5,10.3,17.8,2007
Segrià,25,2.7,17.2,19.9,2007
Selva,17,3.5,0.2,3.8,2007
Solsonès,5,36.1,4,40.1,2007
Tarragonès,10,4.3,0.8,5.1,2007
Terra Alta,14,11.1,11.9,23.1,2007
Urgell,11,0.5,10,10.5,2007
Val d'Aran,0,0,0,0,2007
Vallès Occidental,27,5.7,2.2,8,2007
Vallès Oriental,16,1.7,0.5,2.2,2007
Alt Camp,2,0.2,0.6,0.9,2008
Alt Empordà,39,2.2,11.5,13.7,2008
Alt Penedès,14,3,1.5,4.5,2008
Alt Urgell,1,0,0,0,2008
Alta Ribagorça,3,0,2,2,2008
Anoia,21,1.7,2.3,4.1,2008
Bages,18,1.3,0.4,1.8,2008
Baix Camp,8,0.2,1,1.2,2008
Baix Ebre,11,3.5,3.2,6.7,2008
Baix Empordà,12,2.5,0,2.5,2008
Baix Llobregat,30,1.4,5.8,7.2,2008
Baix Penedès,6,0.2,1.3,1.5,2008
Barcelonès,2,0,0.1,0.1,2008
Berguedà,10,3.2,0.3,3.4,2008
Cerdanya,5,0,0.6,0.6,2008
Conca de Barberà,9,4.4,14.2,18.6,2008
Garraf,10,0.2,0.1,0.3,2008
Garrigues,5,0.8,0.2,1,2008
Garrotxa,1,0,0,0,2008
Gironès,22,1.4,5,6.4,2008
Maresme,16,0.2,6.8,7,2008
Montsià,2,0,5.8,5.8,2008
Noguera,10,16.9,1.2,18,2008
Osona,7,0.9,0.1,1,2008
Pallars Jussà,5,7.9,9.7,17.6,2008
Pallars Sobirà,4,0.1,2,2,2008
Pla d'Urgell,0,0,0,0,2008
Pla de l'Estany,6,0.5,0,0.6,2008
Priorat,6,0.1,1.3,1.4,2008
Ribera d'Ebre,6,0.2,0.1,0.2,2008
Ripollès,1,0,0.2,0.2,2008
Segarra,19,0.1,8.5,8.6,2008
Segrià,27,87.1,21,108,2008
Selva,10,1.3,0.5,1.8,2008
Solsonès,4,0.1,0.7,0.8,2008
Tarragonès,3,0.7,1.1,1.8,2008
Terra Alta,8,5.6,2.6,8.2,2008
Urgell,10,0,12.6,12.7,2008
Val d'Aran,4,38.4,259.5,297.9,2008
Vallès Occidental,26,0.2,2.7,2.8,2008
Vallès Oriental,18,2.9,0.8,3.7,2008
Alt Camp,28,38.6,56.4,95,2009
Alt Empordà,49,3.3,16.7,20,2009
Alt Penedès,19,0.2,2.2,2.5,2009
Alt Urgell,5,0,0.6,0.6,2009
Alta Ribagorça,4,0,6.9,6.9,2009
Anoia,44,21.8,8.1,29.9,2009
Bages,44,189.6,11.7,201.3,2009
Baix Camp,7,0.1,0.7,0.9,2009
Baix Ebre,24,3.2,8.1,11.3,2009
Baix Empordà,44,18.8,12.9,31.7,2009
Baix Llobregat,27,1,2.2,3.2,2009
Baix Penedès,17,71,77.6,148.6,2009
Barcelonès,8,0.1,3.5,3.5,2009
Berguedà,7,0,0,0.1,2009
Cerdanya,4,0,0.5,0.5,2009
Conca de Barberà,13,15.6,2.8,18.4,2009
Garraf,7,3.2,1.1,4.3,2009
Garrigues,12,0.5,1.7,2.2,2009
Garrotxa,3,0.7,0,0.7,2009
Gironès,33,2.1,1.2,3.3,2009
Maresme,37,0.6,4.5,5.1,2009
Montsià,6,1,6.2,7.2,2009
Noguera,23,381.7,539.8,921.5,2009
Osona,11,0.3,0.9,1.1,2009
Pallars Jussà,6,2,1.6,3.6,2009
Pallars Sobirà,5,1.5,84.4,85.9,2009
Pla d'Urgell,0,0,0,0,2009
Pla de l'Estany,11,0.1,1.2,1.2,2009
Priorat,21,0.2,3.5,3.8,2009
Ribera d'Ebre,8,0.9,0.2,1.1,2009
Ripollès,3,0,1.7,1.7,2009
Segarra,28,243.5,440.9,684.4,2009
Segrià,30,23.7,14.2,37.9,2009
Selva,22,2.9,1.3,4.1,2009
Solsonès,10,0.4,3.4,3.9,2009
Tarragonès,11,4,9.8,13.8,2009
Terra Alta,8,564.5,286,850.5,2009
Urgell,12,54.1,81,135.1,2009
Val d'Aran,2,25.4,66.6,92,2009
Vallès Occidental,46,1.4,4.3,5.7,2009
Vallès Oriental,47,6.3,0.9,7.2,2009
Alt Camp,8,0.8,0.5,1.4,2010
Alt Empordà,33,1.1,2.9,4,2010
Alt Penedès,5,0,0.6,0.6,2010
Alt Urgell,4,0.9,0.5,1.4,2010
Alta Ribagorça,0,0,0,0,2010
Anoia,17,0.1,0.4,0.4,2010
Bages,29,3.5,22.7,26.2,2010
Baix Camp,7,0.3,0.9,1.2,2010
Baix Ebre,16,23.7,13,36.7,2010
Baix Empordà,34,67.6,19.1,86.6,2010
Baix Llobregat,31,9.5,44.1,53.5,2010
Baix Penedès,3,0.1,0.5,0.5,2010
Barcelonès,5,0,0.4,0.4,2010
Berguedà,5,0,0,0.1,2010
Cerdanya,2,0,2.4,2.4,2010
Conca de Barberà,8,0.5,8.1,8.5,2010
Garraf,8,35.7,24.3,60.1,2010
Garrigues,15,0.7,3.9,4.6,2010
Garrotxa,2,0.4,0,0.4,2010
Gironès,18,1.4,0.6,2,2010
