,DATE OF FIRE,SUBREGION ID,SUBREGION,CITY ID,CITY,HA WOODED,HA NOT WOODED,HA NO FOREST,HA FOREST
193,07/05/2011,30,Ribera d'Ebre,431508,Tivissa,0.0,0.14,0.0,0.14
194,08/05/2011,6,Anoia,81192,Masquefa,0.0,0.04,0.0,0.04
195,10/05/2011,2,Alt Empordà,170010,Agullana,0.0,0.01,0.0,0.01
196,11/05/2011,2,Alt Empordà,171582,Sant Climent Sescebes,0.0,9.2,0.0,9.2
197,11/05/2011,12,Baix Penedès,431634,"Vendrell, el",0.06,0.19,0.0,0.25
198,11/05/2011,23,Noguera,250404,Balaguer,0.0,0.25,0.0,0.25
199,12/05/2011,2,Alt Empordà,171582,Sant Climent Sescebes,0.0,9.1,0.0,9.1
200,12/05/2011,11,Baix Llobregat,81960,Sant Andreu de la Barca,0.0,0.0,0.0,0.0
201,13/05/2011,7,Bages,81825,"Pont de Vilomara i Rocafort, el",0.0,0.0,0.0,0.0
202,15/05/2011,2,Alt Empordà,171002,Masarac,0.0,0.02,0.0,0.02
203,15/05/2011,33,Segrià,251207,Lleida,0.0,0.31,0.0,0.31
204,15/05/2011,33,Segrià,251898,Rosselló,0.0,1.7,0.0,1.7
205,17/05/2011,23,Noguera,250404,Balaguer,0.4,0.0,0.0,0.4
206,17/05/2011,9,Baix Ebre,431554,Tortosa,0.0,0.4,0.0,0.4
207,18/05/2011,33,Segrià,250100,Alcanó,0.0,0.03,0.0,0.03
208,18/05/2011,33,Segrià,252043,Seròs,0.0,2.6,0.0,2.6
209,19/05/2011,40,Vallès Occidental,82798,Terrassa,0.08,0.0,0.0,0.08
210,20/05/2011,33,Segrià,251207,Lleida,0.0,0.08,0.0,0.08
211,21/05/2011,2,Alt Empordà,172109,Ventalló,0.03,0.0,0.0,0.03
212,21/05/2011,34,Selva,171030,Maçanet de la Selva,0.0,0.0,0.0,0.0
213,21/05/2011,41,Vallès Oriental,81810,"Roca del Vallès, la",0.01,0.0,0.0,0.01
214,21/05/2011,7,Bages,80983,Sant Salvador de Guardiola,0.0,0.0,0.0,0.0
215,21/05/2011,6,Anoia,82573,Santa Maria de Miralles,0.0,0.12,0.0,0.12
216,21/05/2011,33,Segrià,251207,Lleida,0.25,0.0,0.0,0.25
217,22/05/2011,6,Anoia,82573,Santa Maria de Miralles,0.0,0.0,0.0,0.0
218,22/05/2011,33,Segrià,251207,Lleida,0.0,0.07,0.0,0.07
219,23/05/2011,2,Alt Empordà,171523,Roses,0.0,2.3,0.0,2.3
220,23/05/2011,2,Alt Empordà,171582,Sant Climent Sescebes,0.0,30.8,0.1,30.8
221,23/05/2011,11,Baix Llobregat,82634,Sant Vicenç dels Horts,0.0,0.05,0.0,0.05
222,23/05/2011,9,Baix Ebre,430252,Benifallet,7.28,2.48,0.0,9.76
223,24/05/2011,16,Conca de Barberà,431763,Vimbodí i Poblet,0.0,0.07,0.0,0.07
224,24/05/2011,33,Segrià,251207,Lleida,0.1,0.0,0.0,0.1
225,24/05/2011,33,Segrià,251207,Lleida,0.3,0.0,0.0,0.3
226,24/05/2011,9,Baix Ebre,431554,Tortosa,0.7,0.0,0.0,0.7
227,25/05/2011,11,Baix Llobregat,82634,Sant Vicenç dels Horts,0.0,0.13,0.0,0.13
228,25/05/2011,6,Anoia,82508,Santa Margarida de Montbui,0.0,0.06,0.0,0.06
229,25/05/2011,33,Segrià,252326,Torres de Segre,0.0,0.25,0.0,0.25
230,26/05/2011,10,Baix Empordà,171609,Sant Feliu de Guíxols,0.25,0.0,0.0,0.25
231,26/05/2011,40,Vallès Occidental,82798,Terrassa,0.0,0.0,0.0,0.0
232,26/05/2011,14,Berguedà,82687,Cercs,0.01,0.0,0.0,0.01
233,26/05/2011,8,Baix Camp,430094,Alforja,0.0,0.91,0.0,0.91
234,26/05/2011,25,Pallars Jussà,252154,Talarn,0.67,0.2,0.0,0.87
235,26/05/2011,18,Garrigues,250735,Cervià de les Garrigues,0.0,0.19,1.3,0.19
236,26/05/2011,30,Ribera d'Ebre,430995,"Palma d'Ebre, la",0.0,0.03,0.6,0.03
237,28/05/2011,2,Alt Empordà,171208,Palau-saverdera,0.0,0.05,0.0,0.05
238,28/05/2011,10,Baix Empordà,170813,Gualta,0.0,0.01,0.0,0.01
239,28/05/2011,21,Maresme,81108,Malgrat de Mar,0.0,0.0,0.0,0.0
240,28/05/2011,11,Baix Llobregat,82634,Sant Vicenç dels Horts,0.0,0.18,0.0,0.18
241,28/05/2011,7,Bages,81918,Sallent,0.0,0.0,0.0,0.0
242,29/05/2011,11,Baix Llobregat,80898,Gavà,0.0,0.05,0.0,0.05
243,29/05/2011,6,Anoia,82508,Santa Margarida de Montbui,0.0,0.04,0.0,0.04
244,29/05/2011,16,Conca de Barberà,430862,Montblanc,0.0,0.05,0.0,0.05
245,29/05/2011,29,Priorat,431140,Porrera,0.0,0.02,0.0,0.02
246,31/05/2011,16,Conca de Barberà,431397,Santa Coloma de Queralt,0.0,0.0,0.0,0.0
247,01/06/2011,16,Conca de Barberà,431687,Vilanova de Prades,0.03,0.0,0.0,0.03
248,03/06/2011,41,Vallès Oriental,80863,"Franqueses del Vallès, les",0.02,0.0,0.0,0.02
249,03/06/2011,33,Segrià,252265,Torrebesses,0.0,0.08,0.0,0.08
250,03/06/2011,9,Baix Ebre,431021,Paüls,0.0,0.0,0.0,0.0
251,04/06/2011,2,Alt Empordà,172348,Biure,0.0,0.0,0.0,0.0
252,05/06/2011,6,Anoia,82508,Santa Margarida de Montbui,0.0,0.04,0.0,0.04
253,06/06/2011,18,Garrigues,250735,Cervià de les Garrigues,0.0,0.1,1.4,0.1
254,11/06/2011,23,Noguera,251569,Os de Balaguer,0.0,0.18,0.0,0.18
255,13/06/2011,21,Maresme,80403,Canet de Mar,0.0,0.0,0.0,0.0
256,14/06/2011,6,Anoia,82975,Veciana,0.0,0.0,0.0,0.0
257,14/06/2011,9,Baix Ebre,431554,Tortosa,0.0,0.91,0.0,0.91
258,15/06/2011,18,Garrigues,252069,"Soleràs, el",0.0,0.43,0.0,0.43
259,16/06/2011,11,Baix Llobregat,80765,Esparreguera,0.0,0.01,0.0,0.01
260,16/06/2011,6,Anoia,81038,Jorba,0.0,0.0,0.0,0.0
261,17/06/2011,11,Baix Llobregat,80898,Gavà,0.0,0.16,0.0,0.16
262,17/06/2011,11,Baix Llobregat,80689,Cervelló,0.0,0.0,0.0,0.0
263,18/06/2011,33,Segrià,250387,Aitona,0.0,0.06,0.0,0.06
264,19/06/2011,7,Bages,81918,Sallent,0.0,0.08,0.0,0.08
265,20/06/2011,21,Maresme,80351,Calella,0.0,0.0,0.0,0.0
266,20/06/2011,11,Baix Llobregat,82634,Sant Vicenç dels Horts,0.0,0.06,0.0,0.06
267,20/06/2011,33,Segrià,252326,Torres de Segre,0.0,0.09,0.0,0.09
268,21/06/2011,12,Baix Penedès,431634,"Vendrell, el",0.0,0.07,0.0,0.07
269,21/06/2011,33,Segrià,251749,"Portella, la",0.16,0.12,0.0,0.28
270,23/06/2011,10,Baix Empordà,171241,Pals,0.0,0.06,0.0,0.06
271,23/06/2011,10,Baix Empordà,170340,Calonge i Sant Antoni,0.0,0.3,0.0,0.3
272,23/06/2011,21,Maresme,80351,Calella,0.0,0.15,0.0,0.15
273,23/06/2011,41,Vallès Oriental,81810,"Roca del Vallès, la",0.0,0.1,0.0,0.1
274,24/06/2011,10,Baix Empordà,171997,Torroella de Montgrí,1.3,0.7,0.0,2.0
275,24/06/2011,20,Gironès,170792,Girona,0.0,0.05,0.0,0.05
276,24/06/2011,41,Vallès Oriental,80961,Granollers,0.0,0.01,0.0,0.01
277,24/06/2011,40,Vallès Occidental,81878,Sabadell,0.0,0.06,0.48,0.06
278,24/06/2011,6,Anoia,81192,Masquefa,0.0,0.03,0.0,0.03
279,24/06/2011,17,Garraf,82310,Sant Pere de Ribes,0.0,0.0,0.0,0.0
280,24/06/2011,12,Baix Penedès,430379,Calafell,0.0,0.02,0.0,0.02
281,24/06/2011,33,Segrià,250122,Alcoletge,0.0,0.08,0.0,0.08
282,25/06/2011,10,Baix Empordà,172327,Vilopriu,0.01,0.0,0.0,0.01
283,25/06/2011,2,Alt Empordà,171582,Sant Climent Sescebes,0.0,0.11,0.0,0.11
284,25/06/2011,34,Selva,172137,Vidreres,0.0,0.01,0.0,0.01
285,25/06/2011,7,Bages,80538,Castellbell i el Vilar,0.0,0.27,0.0,0.27
286,26/06/2011,41,Vallès Oriental,81069,Llinars del Vallès,0.0,0.11,0.0,0.11
287,26/06/2011,33,Segrià,251207,Lleida,0.04,0.5,0.0,0.54
288,27/06/2011,40,Vallès Occidental,81878,Sabadell,0.0,0.0,0.0,0.0
289,28/06/2011,10,Baix Empordà,179011,"Cruïlles, Monells i Sant Sadurní de l'Heura",2.2,0.0,1.8,2.2
290,28/06/2011,10,Baix Empordà,172327,Vilopriu,0.0,0.01,0.03,0.01
291,28/06/2011,20,Gironès,170890,Llagostera,0.26,0.0,0.81,0.26
292,28/06/2011,20,Gironès,170448,Cassà de la Selva,0.01,0.0,0.0,0.01
293,28/06/2011,21,Maresme,81939,Sant Iscle de Vallalta,0.01,0.0,0.0,0.01
294,28/06/2011,41,Vallès Oriental,82592,Santa Maria de Palautordera,0.0,0.0,0.0,0.0
295,28/06/2011,21,Maresme,80095,Argentona,0.0,0.0,0.0,0.0
296,28/06/2011,15,Cerdanya,170617,Das,0.0,0.2,0.0,0.2
297,28/06/2011,7,Bages,80538,Castellbell i el Vilar,0.0,0.0,0.0,0.0
298,28/06/2011,8,Baix Camp,431628,Vandellòs i l'Hospitalet de l'Infant,0.0,0.0,0.0,0.0
299,28/06/2011,8,Baix Camp,430923,Mont-roig del Camp,0.0,0.02,0.0,0.02
300,29/06/2011,20,Gironès,170448,Cassà de la Selva,0.01,0.0,0.0,0.01
301,29/06/2011,11,Baix Llobregat,80898,Gavà,0.0,0.0,0.0,0.0
302,29/06/2011,12,Baix Penedès,431634,"Vendrell, el",1.2,8.6,0.9,9.8
303,29/06/2011,12,Baix Penedès,431634,"Vendrell, el",4.01,4.18,0.0,8.19
304,29/06/2011,22,Montsià,430141,Amposta,0.0,0.01,0.0,0.01
