Subregion,Forest area. Woods (Ha),Forest area. Scrubland (Ha),Forest area. Others (Ha),No vegetation (Ha),Cropland. Dry farming (Ha),Cropland. Irrigated (Ha),Urban and others (1) (Ha),year
Baix Camp,19151,17272,874,8468,5519,11575,6871,2007
Baix Ebre,14096,24441,2296,4826,31702,17719,4856,2007
Baix Empordà,29770,6459,1842,3562,12067,9140,7420,2007
Baix Llobregat,11752,10222,1265,3414,2462,2425,17040,2007
Baix Penedès,7183,7996,0,1463,8358,287,4293,2007
Barcelonès,1597,941,133,117,24,65,11493,2007
Berguedà,59703,19354,24768,2504,9834,86,2263,2007
Cerdanya,24540,16575,7954,999,2116,790,2032,2007
Conca de Barberà,20690,13511,544,3062,24795,336,2082,2007
Garraf,3541,6772,460,947,1735,123,4882,2007
Garrigues,13441,15604,121,1033,35584,11674,2333,2007
Garrotxa,56601,2372,5252,1083,4689,1296,2137,2007
Gironès,33645,2100,215,2046,10076,4271,5247,2007
Maresme,20557,2224,2015,2176,744,2875,9159,2007
Montsià,9248,13232,1004,5500,22776,18959,3071,2007
Noguera,59370,36827,323,4875,46935,26715,3295,2007
Osona,73177,11580,3227,4422,27790,601,5554,2007
Pallars Jussà,55484,50915,3490,3245,16392,2939,1945,2007
Pallars Sobirà,62869,61719,6322,1642,1657,291,1390,2007
Pla d'Urgell,25,509,86,1008,505,26636,1801,2007
Pla de l'Estany,13926,1156,439,830,7319,1125,1525,2007
Priorat,19952,15730,0,1064,9938,2048,938,2007
Ribera d'Ebre,19461,25866,7447,7382,14083,6376,1985,2007
Ripollès,41810,4279,43432,4071,699,6,1496,2007
Segarra,9429,13520,1900,742,44573,201,1905,2007
Segrià,9134,17406,489,6366,34532,65607,6186,2007
Selva,69998,6963,1755,2995,5094,4084,8729,2007
Solsonès,58569,18997,820,1599,18839,51,1305,2007
Tarragonès,4082,4579,0,1889,8905,3941,8344,2007
Terra Alta,25535,16926,0,937,29216,332,1295,2007
Urgell,3540,4485,239,1163,30840,15556,2107,2007
Val d'Aran,21823,35232,4606,883,58,0,688,2007
Vallès Occidental,23187,7208,1176,3020,4089,572,19048,2007
Vallès Oriental,46458,6697,3374,3792,8014,2498,14337,2007
Alt Camp,14385,12211,0,1121,18785,4165,3103,2008
Alt Empordà,55210,25183,4602,4382,24605,13919,7802,2008
Alt Penedès,13645,13081,1836,2166,22423,300,5869,2008
Alt Urgell,91672,36999,5641,2378,3802,2262,1946,2008
Alta Ribagorça,16332,22905,1541,829,590,180,413,2008
Anoia,29627,14136,5499,2520,28971,438,5559,2008
Bages,66164,24310,4522,4900,21948,821,7295,2008
Baix Camp,19137,17272,5552,3120,6472,11890,6287,2008
Baix Ebre,14537,24349,2586,4691,31024,17846,4907,2008
Baix Empordà,29873,6459,2711,4074,12153,8906,6084,2008
Baix Llobregat,11666,10255,1957,3512,2084,2102,17004,2008
Baix Penedès,7214,8051,0,1475,8167,371,4302,2008
Barcelonès,1416,1043,125,156,25,56,11549,2008
Berguedà,63420,19694,20960,2325,9916,87,2110,2008
Cerdanya,24549,16888,7368,1081,2286,822,2012,2008
Conca de Barberà,20715,13504,460,3028,24872,341,2100,2008
Garraf,3848,6711,469,938,1647,134,4713,2008
Garrigues,13464,15604,34,1062,35885,11404,2337,2008
Garrotxa,56658,2381,4108,1122,5760,1294,2107,2008
Gironès,33570,2100,220,1924,10425,4237,5124,2008
Maresme,20582,2224,1875,2180,726,2909,9254,2008
