year,subregion,fires,affected_wood_ha,affected_scrub_ha,affected_total_ha,affected_size
2001-01-01,Pla de l'Estany,19.0,19.0,1.6,20.6,10 > 100 ha
2001-01-01,Priorat,13.0,3.6,1.1,4.7,0 <10 ha
2001-01-01,Ribera d'Ebre,9.0,1.0,0.4,1.4,0 <10 ha
2001-01-01,Ripollès,2.0,0.0,0.7,0.7,0 <10 ha
2001-01-01,Segarra,4.0,21.5,2.0,23.5,10 > 100 ha
2001-01-01,Segrià,10.0,18.6,4.2,22.8,10 > 100 ha
2001-01-01,Selva,46.0,7.0,0.9,7.8,0 <10 ha
2001-01-01,Solsonès,7.0,0.6,2.4,3.0,0 <10 ha
2001-01-01,Tarragonès,4.0,3.3,2.2,5.5,0 <10 ha
2001-01-01,Terra Alta,8.0,4.7,10.1,14.8,10 > 100 ha
2001-01-01,Urgell,1.0,0.0,0.1,0.1,0 <10 ha
2001-01-01,Aran,3.0,0.0,5.0,5.0,0 <10 ha
2001-01-01,Vallès Occidental,42.0,3.0,9.9,12.9,10 > 100 ha
2001-01-01,Vallès Oriental,26.0,16.6,1.6,18.2,10 > 100 ha
2002-01-01,Alt Camp,9.0,2.7,7.0,9.7,0 <10 ha
2002-01-01,Alt Empordà,25.0,4.1,44.4,48.5,10 > 100 ha
2002-01-01,Alt Penedès,20.0,6.8,4.0,10.8,10 > 100 ha
2002-01-01,Alt Urgell,15.0,10.7,11.0,21.7,10 > 100 ha
2002-01-01,Alta Ribagorça,8.0,17.1,25.8,42.9,10 > 100 ha
2002-01-01,Anoia,31.0,21.2,8.4,29.6,10 > 100 ha
2002-01-01,Bages,39.0,9.1,3.8,12.9,10 > 100 ha
2002-01-01,Baix Camp,13.0,0.8,11.7,12.5,10 > 100 ha
2002-01-01,Baix Ebre,12.0,18.1,14.0,32.1,10 > 100 ha
2002-01-01,Baix Empordà,30.0,4.1,1.4,5.5,0 <10 ha
2002-01-01,Baix Llobregat,20.0,1.8,6.9,8.6,0 <10 ha
2002-01-01,Baix Penedès,9.0,1.0,0.7,1.7,0 <10 ha
2002-01-01,Barcelonès,11.0,1.1,2.3,4.2,0 <10 ha
2002-01-01,Berguedà,9.0,2.0,0.3,2.3,0 <10 ha
2002-01-01,Cerdanya,8.0,0.1,4.6,4.7,0 <10 ha
2002-01-01,Conca de Barberà,12.0,506.4,37.9,544.4,500 > 1000 ha
2002-01-01,Garraf,3.0,0.0,0.1,0.1,0 <10 ha
2002-01-01,Garrigues,23.0,8.9,6.4,15.3,10 > 100 ha
2002-01-01,Garrotxa,8.0,0.6,1.0,1.6,0 <10 ha
2002-01-01,Gironès,11.0,1.7,0.2,1.9,0 <10 ha
2002-01-01,Maresme,12.0,0.1,0.3,0.4,0 <10 ha
2002-01-01,Montsià,5.0,1.0,2.3,3.3,0 <10 ha
2002-01-01,Noguera,24.0,14.6,15.0,29.7,10 > 100 ha
2002-01-01,Osona,6.0,1.0,0.1,1.2,0 <10 ha
2002-01-01,Pallars Jussà,9.0,23.6,2.1,25.7,10 > 100 ha
2002-01-01,Pallars Sobirà,10.0,40.6,31.9,72.5,10 > 100 ha
2002-01-01,Pla d'Urgell,0.0,0.0,0.0,0.0,
2002-01-01,Pla de l'Estany,10.0,1.1,0.2,1.3,0 <10 ha
2002-01-01,Priorat,11.0,6.4,2.8,9.2,0 <10 ha
2002-01-01,Ribera d'Ebre,14.0,44.0,1.5,45.5,10 > 100 ha
2002-01-01,Ripollès,4.0,9.2,0.8,10.0,0 <10 ha
2002-01-01,Segarra,5.0,0.6,5.3,5.9,0 <10 ha
2002-01-01,Segrià,14.0,42.2,5.2,47.4,10 > 100 ha
2002-01-01,Selva,14.0,1.7,0.0,1.7,0 <10 ha
2002-01-01,Solsonès,12.0,4.7,0.1,4.9,0 <10 ha
2002-01-01,Tarragonès,4.0,0.5,0.7,1.2,0 <10 ha
2002-01-01,Terra Alta,13.0,3.6,0.1,3.7,0 <10 ha
2002-01-01,Urgell,14.0,0.3,7.8,8.1,0 <10 ha
2002-01-01,Aran,5.0,130.0,740.0,870.0,500 > 1000 ha
2002-01-01,Vallès Occidental,30.0,7.1,139.1,146.2,100 > 500 ha
2002-01-01,Vallès Oriental,12.0,0.3,0.8,1.1,0 <10 ha
2003-01-01,Alt Camp,9.0,207.0,1.1,208.1,100 > 500 ha
2003-01-01,Alt Empordà,40.0,66.3,104.5,170.7,100 > 500 ha
2003-01-01,Alt Penedès,24.0,153.7,10.0,163.7,100 > 500 ha
2003-01-01,Alt Urgell,14.0,11.1,2.8,13.9,10 > 100 ha
2003-01-01,Alta Ribagorça,4.0,3.5,6.1,9.6,0 <10 ha
2003-01-01,Anoia,34.0,218.5,8.1,226.6,100 > 500 ha
2003-01-01,Bages,46.0,1213.5,111.1,1324.6,>1000 ha
2003-01-01,Baix Camp,12.0,2.5,22.7,25.2,10 > 100 ha
2003-01-01,Baix Ebre,7.0,15.1,0.9,16.9,10 > 100 ha
2003-01-01,Baix Empordà,32.0,817.2,54.7,871.8,500 > 1000 ha
2003-01-01,Baix Llobregat,50.0,6.8,7.9,14.8,10 > 100 ha
2003-01-01,Baix Penedès,8.0,9.8,6.1,15.9,10 > 100 ha
2003-01-01,Barcelonès,34.0,37.2,23.5,60.6,10 > 100 ha
2003-01-01,Berguedà,26.0,6.8,1.1,7.9,0 <10 ha
2003-01-01,Cerdanya,4.0,3.5,1.0,4.5,0 <10 ha
2003-01-01,Conca de Barberà,8.0,23.1,2.8,25.9,10 > 100 ha
2003-01-01,Garraf,5.0,4.1,3.5,7.6,0 <10 ha
2003-01-01,Garrigues,16.0,40.7,2.0,42.7,10 > 100 ha
2003-01-01,Garrotxa,4.0,0.1,0.1,0.1,0 <10 ha
2003-01-01,Gironès,37.0,77.3,13.9,91.2,10 > 100 ha
2003-01-01,Maresme,16.0,243.8,5.2,249.1,100 > 500 ha
2003-01-01,Montsià,3.0,0.0,0.7,0.7,0 <10 ha
2003-01-01,Noguera,22.0,34.6,27.8,62.4,10 > 100 ha
2003-01-01,Osona,16.0,6.9,1.5,8.4,0 <10 ha
2003-01-01,Pallars Jussà,11.0,11.6,2.0,13.6,10 > 100 ha
2003-01-01,Pallars Sobirà,12.0,3.0,4.3,7.3,0 <10 ha
2003-01-01,Pla d'Urgell,0.0,0.0,0.0,0.0,
2003-01-01,Pla de l'Estany,15.0,38.8,1.3,40.2,10 > 100 ha
2003-01-01,Priorat,2.0,3.8,6.1,9.9,0 <10 ha
2003-01-01,Ribera d'Ebre,17.0,9.1,4.6,13.8,10 > 100 ha
2003-01-01,Ripollès,3.0,0.6,1.3,1.9,0 <10 ha
2003-01-01,Segarra,5.0,82.3,200.6,282.9,100 > 500 ha
2003-01-01,Segrià,14.0,224.0,1328.6,1552.6,>1000 ha
2003-01-01,Selva,35.0,811.2,41.8,853.0,500 > 1000 ha
2003-01-01,Solsonès,18.0,1.3,0.2,1.6,0 <10 ha
2003-01-01,Tarragonès,5.0,10.8,16.9,27.7,10 > 100 ha
2003-01-01,Terra Alta,5.0,1.2,0.1,1.3,0 <10 ha
2003-01-01,Urgell,2.0,1.9,8.1,10.0,0 <10 ha
2003-01-01,Aran,7.0,0.3,5.3,5.5,0 <10 ha
2003-01-01,Vallès Occidental,45.0,1834.5,343.7,2178.2,>1000 ha
2003-01-01,Vallès Oriental,35.0,1170.4,71.4,1241.8,>1000 ha
2004-01-01,Alt Camp,16.0,8.9,7.1,16.0,10 > 100 ha
2004-01-01,Alt Empordà,38.0,6.3,37.3,43.6,10 > 100 ha
2004-01-01,Alt Penedès,30.0,1.5,3.7,5.2,0 <10 ha
2004-01-01,Alt Urgell,6.0,71.4,12.2,83.6,10 > 100 ha
2004-01-01,Alta Ribagorça,5.0,0.0,16.4,16.4,10 > 100 ha
2004-01-01,Anoia,14.0,3.3,4.7,8.0,0 <10 ha
2004-01-01,Bages,28.0,21.1,1.3,22.4,10 > 100 ha
2004-01-01,Baix Camp,9.0,2.8,1.4,4.1,0 <10 ha
2004-01-01,Baix Ebre,8.0,1.9,1.1,3.0,0 <10 ha
2004-01-01,Baix Empordà,12.0,193.8,307.0,500.8,500 > 1000 ha
2004-01-01,Baix Llobregat,38.0,4.5,1.2,5.8,0 <10 ha
2004-01-01,Baix Penedès,6.0,0.1,1.6,1.8,0 <10 ha
2004-01-01,Barcelonès,15.0,1.0,25.7,26.7,10 > 100 ha
2004-01-01,Berguedà,7.0,0.0,0.4,0.5,0 <10 ha
2004-01-01,Cerdanya,3.0,0.0,0.5,0.5,0 <10 ha
2004-01-01,Conca de Barberà,23.0,17.8,13.6,31.4,10 > 100 ha
2004-01-01,Garraf,3.0,0.4,0.1,0.5,0 <10 ha
2004-01-01,Garrigues,9.0,2.0,1.4,3.4,0 <10 ha
2004-01-01,Garrotxa,2.0,0.0,0.0,0.0,
2004-01-01,Gironès,21.0,3.7,11.5,15.2,10 > 100 ha
2004-01-01,Maresme,10.0,0.4,5.9,6.4,0 <10 ha
2004-01-01,Montsià,13.0,0.0,64.8,64.8,10 > 100 ha
2004-01-01,Noguera,30.0,2.3,21.0,23.3,10 > 100 ha
2004-01-01,Osona,8.0,0.0,3.4,3.4,0 <10 ha
2004-01-01,Pallars Jussà,10.0,3.3,21.7,24.9,10 > 100 ha
2004-01-01,Pallars Sobirà,8.0,0.5,2.3,2.8,0 <10 ha
2004-01-01,Pla d'Urgell,0.0,0.0,0.0,0.0,
2004-01-01,Pla de l'Estany,12.0,0.1,0.6,0.7,0 <10 ha
2004-01-01,Priorat,17.0,1.1,12.0,13.0,10 > 100 ha
2004-01-01,Ribera d'Ebre,16.0,0.8,1.4,2.3,0 <10 ha
2004-01-01,Ripollès,4.0,0.0,0.8,0.8,0 <10 ha
2004-01-01,Segarra,10.0,5.8,12.6,18.4,10 > 100 ha
2004-01-01,Segrià,36.0,35.2,26.7,61.9,10 > 100 ha
2004-01-01,Selva,26.0,0.9,0.8,1.7,0 <10 ha
2004-01-01,Solsonès,8.0,0.0,1.3,1.3,0 <10 ha
2004-01-01,Tarragonès,3.0,1.5,4.5,6.0,0 <10 ha
2004-01-01,Terra Alta,11.0,0.5,1.5,2.0,0 <10 ha
2004-01-01,Urgell,3.0,0.0,3.3,3.3,0 <10 ha
2004-01-01,Aran,3.0,0.0,32.0,32.0,10 > 100 ha
2004-01-01,Vallès Occidental,21.0,0.7,6.5,7.1,0 <10 ha
2004-01-01,Vallès Oriental,23.0,0.1,2.4,2.5,0 <10 ha
2005-01-01,Alt Camp,5.0,5.2,4.7,9.9,0 <10 ha
2005-01-01,Alt Empordà,34.0,6.6,10.8,17.5,10 > 100 ha
2005-01-01,Alt Penedès,48.0,10.0,11.1,21.1,10 > 100 ha
2005-01-01,Alt Urgell,23.0,23.2,27.4,50.5,10 > 100 ha
2005-01-01,Alta Ribagorça,4.0,0.0,5.9,5.9,0 <10 ha
2005-01-01,Anoia,29.0,3.9,7.3,11.3,10 > 100 ha
2005-01-01,Bages,59.0,1975.1,445.4,2420.6,>1000 ha
2005-01-01,Baix Camp,25.0,57.5,118.6,176.1,100 > 500 ha
2005-01-01,Baix Ebre,22.0,31.4,124.2,155.5,100 > 500 ha
2005-01-01,Baix Empordà,28.0,9.5,0.1,9.6,0 <10 ha
