subregion,forest_wood_Ha,forest_scrub_Ha,forest_other_Ha,areas_without_vegetation_Ha,rainfed_crops_Ha,irrigated_crops_Ha,urban_Ha,year
Barcelonès,1855,143,463.0,183,163,181.0,11382,2003-01-01
Berguedà,44099,6557,42150.0,9363,10306,119.0,5916,2003-01-01
Cerdanya,19107,2508,25311.0,3038,2255,981.0,1785,2003-01-01
Conca de Barberà,11752,14633,4380.0,5162,27252,425.0,1416,2003-01-01
Garraf,4479,2523,3535.0,2557,1918,163.0,3285,2003-01-01
Garrigues,13222,12085,2932.0,2014,39060,9244.0,1233,2003-01-01
Garrotxa,32160,14288,11577.0,4544,7562,1338.0,1961,2003-01-01
Gironès,20665,12827,1247.0,2880,10730,4580.0,4671,2003-01-01
Maresme,17252,1993,3094.0,2344,1452,3441.0,10174,2003-01-01
Montsià,10679,9356,3674.0,7316,21537,18518.0,2710,2003-01-01
Noguera,15372,60268,17253.0,6703,50510,24444.0,3790,2003-01-01
Osona,54002,14879,13247.0,7185,30191,480.0,6286,2003-01-01
Pallars Jussà,29091,35228,41554.0,7157,17528,2993.0,859,2003-01-01
Pallars Sobirà,61845,2935,55147.0,13192,2103,286.0,382,2003-01-01
Pla d'Urgell,11,0,504.0,273,745,26077.0,2960,2003-01-01
Pla de l'Estany,10820,2945,898.0,988,8187,987.0,1495,2003-01-01
Priorat,8668,11490,6067.0,5459,13640,2324.0,2022,2003-01-01
Ribera d'Ebre,23013,15967,5240.0,9289,20614,7386.0,1091,2003-01-01
Ripollès,39566,3041,46810.0,4460,813,41.0,1059,2003-01-01
Segarra,3889,15086,2774.0,560,47289,165.0,2507,2003-01-01
Segrià,5710,9741,10363.0,1917,39655,65800.0,6534,2003-01-01
Selva,61328,13353,3198.0,3392,7247,4446.0,6686,2003-01-01
Solsonès,46894,10643,19185.0,4058,18032,63.0,1305,2003-01-01
Tarragonès,3242,3353,284.0,2038,8254,4016.0,10553,2003-01-01
Terra Alta,17554,15766,3327.0,4004,31850,459.0,1250,2003-01-01
Urgell,2194,2752,2467.0,1107,31405,15590.0,2415,2003-01-01
Aran,10500,4986,37607.0,9630,51,0.0,516,2003-01-01
Vallès Occidental,28478,4697,800.0,483,4791,609.0,18442,2003-01-01
Vallès Oriental,42122,9268,5476.0,3362,8801,2914.0,13302,2003-01-01
Alt Camp,10148,8790,3486.0,4139,19727,3979.0,3501,2004-01-01
Alt Empordà,55096,13884,12546.0,3673,26679,12769.0,10419,2004-01-01
Alt Penedès,15660,11901,212.0,3152,23622,190.0,4583,2004-01-01
Alt Urgell,43220,27518,52653.0,14312,3638,1854.0,1505,2004-01-01
Alta Ribagorça,10708,7156,19995.0,3888,592,184.0,267,2004-01-01
Anoia,29756,9489,7710.0,3726,30867,466.0,4736,2004-01-01
Bages,60564,23339,8345.0,3455,25137,1207.0,7913,2004-01-01
Baix Camp,14640,13110,4792.0,5921,12875,10091.0,8301,2004-01-01
Baix Ebre,15899,15440,9256.0,5047,32773,18165.0,3360,2004-01-01
Baix Empordà,19582,12318,4288.0,2777,13206,9082.0,9007,2004-01-01
Baix Llobregat,12315,5776,1331.0,1534,2332,2679.0,22613,2004-01-01
Baix Penedès,5113,9183,187.0,1887,7036,364.0,5810,2004-01-01
Barcelonès,1858,150,477.0,182,154,156.0,11393,2004-01-01
Berguedà,42383,8273,41679.0,9539,10287,117.0,6234,2004-01-01
Cerdanya,19117,2508,25442.0,3002,2169,992.0,1755,2004-01-01
Conca de Barberà,11752,14633,4510.0,5030,27252,427.0,1416,2004-01-01
Garraf,4479,2523,3525.0,2557,1925,166.0,3285,2004-01-01
Garrigues,13222,12085,2799.0,2014,38129,10308.0,1233,2004-01-01
Garrotxa,40321,13003,6347.0,2865,7995,1417.0,1482,2004-01-01
Gironès,20984,13414,1519.0,2403,10097,4117.0,5066,2004-01-01
Maresme,17252,1991,3079.0,2344,1475,3434.0,10175,2004-01-01
Montsià,10311,9093,3534.0,7212,21874,19116.0,2650,2004-01-01
Noguera,15372,60268,17253.0,6703,50107,24847.0,3790,2004-01-01
Osona,53506,14307,14711.0,7179,30074,625.0,5947,2004-01-01
Pallars Jussà,29091,35228,41554.0,7157,17519,3002.0,859,2004-01-01
Pallars Sobirà,61845,2935,55147.0,13192,2097,292.0,382,2004-01-01
Pla d'Urgell,11,0,493.0,273,740,26093.0,2960,2004-01-01
Pla de l'Estany,10820,2945,898.0,988,8180,987.0,1502,2004-01-01
Priorat,8668,11490,6067.0,5459,13639,2325.0,2022,2004-01-01
Ribera d'Ebre,23015,15967,5240.0,9248,20391,7506.0,1233,2004-01-01
Ripollès,39566,3995,46107.0,4485,556,22.0,1059,2004-01-01
Segarra,3889,15086,2760.0,574,47288,166.0,2507,2004-01-01
Segrià,5710,9731,10210.0,1917,39267,66351.0,6534,2004-01-01
Selva,61093,13406,3203.0,3376,7114,4407.0,6541,2004-01-01
Solsonès,46894,10643,19185.0,4058,18031,64.0,1305,2004-01-01
Tarragonès,3241,3350,284.0,2022,8282,4000.0,10561,2004-01-01
Terra Alta,17554,15766,3235.0,4004,31938,446.0,1267,2004-01-01
Urgell,2194,2752,2467.0,1107,31396,15599.0,2415,2004-01-01
Aran,10500,4986,37607.0,9630,51,0.0,516,2004-01-01
Vallès Occidental,28459,4695,780.0,485,4768,675.0,18438,2004-01-01
Vallès Oriental,41976,9387,5295.0,3259,8870,3081.0,13302,2004-01-01
Alt Camp,10148,8787,3486.0,4139,19730,3979.0,3501,2005-01-01
Alt Empordà,62832,7469,13357.0,6512,26717,12782.0,5398,2005-01-01
Alt Penedès,12536,15249,432.0,1978,23070,201.0,5854,2005-01-01
Alt Urgell,43220,27518,52636.0,14312,3620,1889.0,1505,2005-01-01
Alta Ribagorça,6176,10156,24345.0,918,592,184.0,419,2005-01-01
Anoia,30522,13803,5186.0,1972,29461,380.0,5426,2005-01-01
Bages,65353,26160,2317.0,3795,24710,1158.0,6467,2005-01-01
Baix Camp,14641,13132,4810.0,5891,12905,10050.0,8301,2005-01-01
Baix Ebre,16063,15740,9655.0,5037,32643,17401.0,3401,2005-01-01
Baix Empordà,19582,12318,4278.0,2777,13176,9122.0,9007,2005-01-01
Baix Llobregat,11701,10782,1575.0,2863,2359,2751.0,16549,2005-01-01
Baix Penedès,5113,9078,187.0,1887,7141,364.0,5810,2005-01-01
Barcelonès,1594,941,134.0,118,28,89.0,11466,2005-01-01
Berguedà,58990,15429,28439.0,2544,10742,118.0,2250,2005-01-01
