year,subregion,fires,affected_wood_ha,affected_scrub_ha,affected_total_ha,affected_size,forest_wood_Ha,forest_scrub_Ha,forest_other_Ha,areas_without_vegetation_Ha,rainfed_crops_Ha,irrigated_crops_Ha,urban_Ha,annual_avg_temp,average_maximums,average_minimums,outright_maximum,outright_minimum,annual_rainfall_mm,relative_humidity_%,wind_avg_speed_ms,wind_dominant_direction,risk_forest_fire
2005-01-01,Solsonès,11.0,10.9,2.3,13.2,10 > 100 ha,57433.0,5972.0,14532.0,2820.0,18249.0,70.0,1104.0,12.0,19.4,6.5,38.3,-11.0,425.0,65.0,2.0,SW,Very high
2005-01-01,Tarragonès,7.0,0.4,1.2,1.5,0 <10 ha,2902.0,3934.0,819.0,3129.0,8886.0,3858.0,8212.0,15.0,20.9,10.2,34.9,-6.0,643.0,75.0,1.0,N,High
2005-01-01,Terra Alta,25.0,61.5,67.8,129.3,100 > 500 ha,32390.0,8602.0,603.0,1284.0,29401.0,372.0,1558.0,14.0,20.5,9.1,39.9,-10.0,448.0,67.0,3.0,W,Very high
2005-01-01,Urgell,7.0,0.4,0.5,0.9,0 <10 ha,2164.0,2781.0,2712.0,1222.0,31295.0,15629.0,2127.0,14.0,19.2,8.8,38.8,-8.0,273.0,64.0,4.0,SW,Moderate
2005-01-01,Aran,4.0,0.0,26.2,26.2,10 > 100 ha,10500.0,9597.0,41702.0,773.0,51.0,0.0,667.0,9.0,16.0,4.2,34.6,-15.0,764.0,75.0,1.0,S,Low
2005-01-01,Vallès Occidental,45.0,87.0,124.7,211.7,100 > 500 ha,22855.0,8070.0,806.0,2537.0,4834.0,721.0,18295.0,13.0,20.7,7.2,35.7,-9.0,531.0,74.0,1.0,S,Moderate
2005-01-01,Vallès Oriental,35.0,33.0,2.1,35.1,10 > 100 ha,45419.0,7284.0,2735.0,2902.0,8794.0,3104.0,14932.0,15.0,21.9,8.4,37.1,-9.0,350.0,76.0,2.0,E,Moderate
2006-01-01,Alt Camp,12.0,6.9,2.4,9.3,0 <10 ha,10148.0,8787.0,3472.0,4139.0,19744.0,3979.0,3501.0,16.0,20.6,11.2,34.5,-1.0,333.0,64.0,3.0,N,Moderate
2006-01-01,Alt Empordà,58.0,672.7,278.6,951.3,500 > 1000 ha,63226.0,7901.0,15478.0,6691.0,24445.0,12619.0,5343.0,17.0,21.5,12.0,39.1,-3.0,391.0,69.0,3.0,N,Very high
2006-01-01,Alt Penedès,23.0,4.2,3.3,7.4,0 <10 ha,12536.0,15249.0,690.0,1978.0,22833.0,162.0,5872.0,15.0,20.7,10.6,35.3,-2.0,403.0,73.0,2.0,NE,High
2006-01-01,Alt Urgell,10.0,95.2,0.0,95.3,10 > 100 ha,57549.0,34772.0,41572.0,3666.0,4034.0,2399.0,708.0,12.0,19.2,5.9,35.7,-8.0,426.0,68.0,2.0,SW,Low
2006-01-01,Alta Ribagorça,3.0,0.0,1.5,1.5,0 <10 ha,6180.0,10156.0,24439.0,827.0,592.0,184.0,412.0,12.0,19.5,4.2,35.8,-10.0,728.0,72.0,1.0,S,Low
2006-01-01,Anoia,17.0,19.6,4.2,23.8,10 > 100 ha,29601.0,13823.0,5889.0,1994.0,29610.0,372.0,5461.0,16.0,22.1,11.5,37.5,-1.0,361.0,71.0,3.0,NW,Very high
2006-01-01,Bages,44.0,34.1,3.0,37.1,10 > 100 ha,66181.0,27241.0,3228.0,3769.0,21765.0,909.0,6744.0,14.0,21.6,8.1,36.8,-5.0,348.0,70.0,1.0,S,Very high
