subregion,annual_avg_temp,average_maximums,average_minimums,outright_maximum,outright_minimum,year
Garrotxa,13.0,19.7,7.4,35.2,-6.3,2004-01-01
Gironès,16.0,21.9,10.5,37.1,-3.4,2004-01-01
Maresme,17.0,20.9,13.1,35.8,-0.1,2004-01-01
Montsià,16.0,20.5,12.6,32.7,0.2,2004-01-01
Noguera,14.0,20.6,7.9,37.3,-6.5,2004-01-01
Osona,12.0,19.2,6.4,36.1,-7.1,2004-01-01
Pallars Jussà,13.0,20.1,6.3,38.3,-7.7,2004-01-01
Pallars Sobirà,11.462499999999999,19.724999999999998,5.768750000000001,34.262499999999996,-7.39375,2004-01-01
Pla d'Urgell,13.0,20.3,7.3,36.7,-6.4,2004-01-01
Pla de l'Estany,15.0,20.2,9.8,35.7,-3.9,2004-01-01
Priorat,14.0,20.5,9.3,38.3,-5.2,2004-01-01
Ribera d'Ebre,16.0,22.9,10.0,40.8,-4.2,2004-01-01
Ripollès,10.0,16.9,3.7,32.2,-10.0,2004-01-01
Segarra,12.0,18.0,7.6,35.5,-5.8,2004-01-01
Segrià,14.0,20.0,8.1,36.7,-5.6,2004-01-01
Selva,15.0,21.2,8.7,39.3,-4.2,2004-01-01
Solsonès,13.0,19.6,7.0,37.1,-7.2,2004-01-01
Tarragonès,17.0,21.9,12.7,37.1,0.5,2004-01-01
Terra Alta,14.0,19.9,9.4,37.3,-3.3,2004-01-01
Urgell,13.0,18.7,8.6,35.6,-5.4,2004-01-01
Aran,9.0,15.5,4.3,33.0,-9.6,2004-01-01
Vallès Occidental,13.0,20.0,7.1,36.5,-7.0,2004-01-01
Vallès Oriental,15.0,21.6,8.8,38.1,-4.8,2004-01-01
Alt Camp,15.0,20.2,9.9,35.3,-5.0,2005-01-01
Alt Empordà,16.0,20.6,10.9,36.3,-5.0,2005-01-01
Alt Penedès,15.0,21.3,8.9,36.4,-6.0,2005-01-01
Alt Urgell,12.0,18.8,5.0,36.6,-11.0,2005-01-01
Alta Ribagorça,10.0,18.9,2.5,35.8,-14.0,2005-01-01
Anoia,14.0,20.4,9.9,35.2,-6.0,2005-01-01
Bages,14.0,21.1,6.8,38.2,-11.0,2005-01-01
Baix Camp,16.0,20.8,10.9,36.3,-4.0,2005-01-01
Baix Ebre,16.0,20.6,11.6,34.8,-5.0,2005-01-01
Baix Empordà,15.0,22.1,8.4,36.6,-9.0,2005-01-01
Baix Llobregat,16.0,21.8,11.2,35.9,-4.0,2005-01-01
Baix Penedès,17.0,21.9,11.6,36.4,-3.0,2005-01-01
Barcelonès,15.0,19.9,11.7,35.6,-5.0,2005-01-01
Berguedà,11.0,18.1,6.3,36.0,-11.0,2005-01-01
Cerdanya,9.0,17.3,0.6,35.2,-16.0,2005-01-01
Conca de Barberà,14.0,19.4,8.2,35.7,-6.0,2005-01-01
Garraf,16.0,22.0,10.6,38.3,-5.0,2005-01-01
Garrigues,13.0,18.6,7.6,37.0,-9.0,2005-01-01
Garrotxa,13.0,19.4,6.5,36.0,-10.0,2005-01-01
Gironès,16.0,22.4,10.0,38.4,-7.0,2005-01-01
Maresme,17.0,21.2,13.3,35.4,-2.0,2005-01-01
Montsià,16.0,20.0,12.0,31.7,-3.0,2005-01-01
Noguera,14.0,20.6,7.3,37.7,-11.0,2005-01-01
Osona,12.0,19.2,5.7,38.2,-12.0,2005-01-01
Pallars Jussà,13.0,20.6,6.4,40.6,-10.0,2005-01-01
Pallars Sobirà,11.462499999999999,19.724999999999998,5.768750000000001,34.262499999999996,-7.39375,2005-01-01
Pla d'Urgell,14.0,21.1,7.6,39.2,-10.0,2005-01-01
Pla de l'Estany,15.0,20.7,9.7,36.8,-7.0,2005-01-01
Priorat,13.0,20.5,7.1,40.2,-10.0,2005-01-01
Ribera d'Ebre,17.0,23.3,10.7,39.8,-6.0,2005-01-01
Ripollès,10.0,17.2,3.1,34.8,-12.0,2005-01-01
Segarra,13.0,18.3,7.8,37.9,-8.0,2005-01-01
Segrià,13.0,20.1,7.5,37.7,-10.0,2005-01-01
Selva,15.0,21.9,8.5,39.5,-9.0,2005-01-01
Solsonès,12.0,19.4,6.5,38.3,-11.0,2005-01-01
Tarragonès,15.0,20.9,10.2,34.9,-6.0,2005-01-01
Terra Alta,14.0,20.5,9.1,39.9,-10.0,2005-01-01
Urgell,14.0,19.2,8.8,38.8,-8.0,2005-01-01
Aran,9.0,16.0,4.2,34.6,-15.0,2005-01-01
Vallès Occidental,13.0,20.7,7.2,35.7,-9.0,2005-01-01
Vallès Oriental,15.0,21.9,8.4,37.1,-9.0,2005-01-01
Alt Camp,16.0,20.6,11.2,34.5,-1.0,2006-01-01
Alt Empordà,17.0,21.5,12.0,39.1,-3.0,2006-01-01
Alt Penedès,15.0,20.7,10.6,35.3,-2.0,2006-01-01
Alt Urgell,12.0,19.2,5.9,35.7,-8.0,2006-01-01
Alta Ribagorça,12.0,19.5,4.2,35.8,-10.0,2006-01-01
Anoia,16.0,22.1,11.5,37.5,-1.0,2006-01-01
Bages,14.0,21.6,8.1,36.8,-5.0,2006-01-01
Baix Camp,16.0,20.9,10.9,35.8,-1.0,2006-01-01
Baix Ebre,17.0,22.1,13.1,37.5,-2.0,2006-01-01
Baix Empordà,16.0,23.0,9.8,38.2,-3.0,2006-01-01
Baix Llobregat,17.0,22.8,12.1,39.7,-1.0,2006-01-01
Baix Penedès,17.0,22.3,12.2,36.5,0.0,2006-01-01
Barcelonès,16.0,20.6,12.6,38.2,0.0,2006-01-01
Berguedà,13.0,19.2,7.5,35.8,-4.0,2006-01-01
Cerdanya,10.0,19.4,2.4,34.9,-13.0,2006-01-01
Conca de Barberà,14.0,20.4,9.3,37.2,-4.0,2006-01-01
Garraf,17.0,22.4,12.1,36.2,0.0,2006-01-01
Garrigues,14.0,19.4,9.4,36.0,-6.0,2006-01-01
Garrotxa,14.0,21.1,8.2,37.9,-6.0,2006-01-01
Gironès,17.0,23.5,11.5,39.6,-3.0,2006-01-01
Maresme,18.0,21.7,14.2,33.6,2.0,2006-01-01
Montsià,17.0,20.8,13.6,33.0,0.0,2006-01-01
Noguera,15.0,21.2,9.1,38.9,-5.0,2006-01-01
Osona,13.0,20.1,7.5,37.4,-6.0,2006-01-01
Pallars Jussà,14.0,21.3,7.6,39.3,-7.0,2006-01-01
Pallars Sobirà,11.462499999999999,19.724999999999998,5.768750000000001,34.262499999999996,-7.39375,2006-01-01
Pla d'Urgell,16.0,21.1,8.2,38.5,-2.0,2006-01-01
Pla de l'Estany,15.0,21.8,10.9,38.5,-7.0,2006-01-01
Priorat,14.0,21.0,8.0,39.0,-9.0,2006-01-01
Ribera d'Ebre,18.0,23.8,11.5,41.8,-5.0,2006-01-01
Ripollès,11.0,18.6,4.5,35.4,-10.0,2006-01-01
Segarra,14.0,19.2,9.3,38.0,-4.0,2006-01-01
Segrià,15.0,20.8,9.0,37.9,-6.0,2006-01-01
Selva,16.0,22.6,9.3,40.1,-4.0,2006-01-01
Solsonès,14.0,20.6,8.5,36.9,-4.0,2006-01-01
Tarragonès,16.0,21.3,11.6,35.0,-2.0,2006-01-01
Terra Alta,15.0,21.2,10.2,38.5,-4.0,2006-01-01
Urgell,15.0,20.3,10.2,38.8,-6.0,2006-01-01
Aran,10.0,17.5,5.5,33.6,-8.0,2006-01-01
Vallès Occidental,14.0,21.3,8.0,37.3,-6.0,2006-01-01
Vallès Oriental,16.0,22.4,9.4,37.0,-4.0,2006-01-01
Alt Camp,15.428571428571429,21.3,10.9,36.3,-1.5,2007-01-01
Alt Empordà,16.0,21.6,11.1,33.4,-4.1,2007-01-01
Alt Penedès,15.0,21.1,9.9,35.4,-3.1,2007-01-01
Alt Urgell,12.0,19.6,5.2,35.9,-8.3,2007-01-01
Alta Ribagorça,10.0,19.3,2.5,34.9,-12.5,2007-01-01
Anoia,15.0,21.7,10.2,36.5,-3.0,2007-01-01
Bages,13.0,21.4,7.0,37.0,-8.3,2007-01-01
Baix Camp,16.0,21.1,11.6,32.2,-2.8,2007-01-01
Baix Ebre,15.638095238095238,20.1,12.1,34.1,-1.1,2007-01-01
Baix Empordà,15.0,22.0,8.7,36.5,-6.3,2007-01-01
Baix Llobregat,16.0,22.8,11.3,38.9,-1.1,2007-01-01
Baix Penedès,16.347619047619048,22.2,10.8,32.7,-2.3,2007-01-01
Barcelonès,15.0,20.5,11.7,34.5,-1.3,2007-01-01
Berguedà,12.0,19.1,6.4,35.3,-7.7,2007-01-01
Cerdanya,9.176190476190477,18.7,0.9,35.4,-15.6,2007-01-01
Conca de Barberà,14.0,20.2,8.7,39.1,-4.9,2007-01-01
Garraf,16.0,22.2,11.6,35.2,-1.6,2007-01-01
Garrigues,14.0,19.3,8.3,37.3,-7.3,2007-01-01
Garrotxa,13.0,21.3,7.0,38.6,-7.6,2007-01-01
Gironès,15.36,23.0,9.6,38.0,-5.3,2007-01-01
Maresme,17.0,21.8,12.7,32.4,0.2,2007-01-01
Montsià,17.0,21.8,12.8,32.6,0.7,2007-01-01
Noguera,14.0,21.2,7.8,40.4,-8.2,2007-01-01
Osona,12.0,20.4,5.7,38.5,-8.8,2007-01-01
Pallars Jussà,13.0,21.0,6.0,38.2,-9.1,2007-01-01
Pallars Sobirà,11.462499999999999,19.724999999999998,5.768750000000001,34.262499999999996,-7.39375,2007-01-01
Pla d'Urgell,13.0,20.8,7.1,41.2,-8.6,2007-01-01
Pla de l'Estany,15.0,21.8,10.1,35.8,-3.9,2007-01-01
Priorat,13.0,21.0,7.0,38.7,-9.5,2007-01-01
Ribera d'Ebre,16.0,23.6,9.8,40.4,-9.1,2007-01-01
Ripollès,10.0,18.2,3.2,33.7,-11.5,2007-01-01
Segarra,13.0,19.2,8.1,38.8,-6.2,2007-01-01
Segrià,14.0,20.6,7.4,39.2,-10.8,2007-01-01
Selva,15.0,22.3,7.8,39.3,-7.8,2007-01-01
Solsonès,13.0,20.3,7.0,38.0,-6.5,2007-01-01
Tarragonès,16.0,22.3,10.5,34.1,-5.2,2007-01-01
Terra Alta,14.0,20.2,8.8,38.6,-7.6,2007-01-01
Urgell,14.0,20.2,9.3,39.8,-5.4,2007-01-01
Aran,9.0,16.4,4.0,35.2,-10.0,2007-01-01
Vallès Occidental,13.0,21.1,7.0,36.1,-8.9,2007-01-01
Vallès Oriental,14.0,22.1,8.2,35.5,-5.9,2007-01-01
Alt Camp,15.0,20.5,10.6,34.6,0.1,2008-01-01
Alt Empordà,16.0,21.0,11.3,34.5,-1.0,2008-01-01
Alt Penedès,15.0,20.4,9.9,34.2,-2.0,2008-01-01
Alt Urgell,11.0,18.0,5.5,34.1,-7.3,2008-01-01
Alta Ribagorça,10.0,18.5,2.8,35.4,-10.8,2008-01-01
Anoia,15.0,20.2,10.1,34.7,-1.7,2008-01-01
Bages,13.0,20.3,7.0,36.6,-7.3,2008-01-01
Baix Camp,16.0,20.3,11.6,32.8,-1.5,2008-01-01
Baix Ebre,16.0,20.5,11.9,35.3,-2.5,2008-01-01
Baix Empordà,15.0,21.9,8.8,36.8,-3.0,2008-01-01
Baix Llobregat,15.0,21.0,11.0,34.7,0.3,2008-01-01
Baix Penedès,16.0,21.7,10.7,35.2,-1.2,2008-01-01
Barcelonès,15.0,19.1,11.5,34.6,0.8,2008-01-01
Berguedà,11.0,16.7,6.0,34.0,-4.7,2008-01-01
Cerdanya,9.0,16.9,1.0,34.8,-12.1,2008-01-01
Conca de Barberà,14.0,19.6,8.6,34.7,-4.0,2008-01-01
Garraf,16.0,21.3,11.3,34.3,-0.7,2008-01-01
Garrigues,13.0,18.7,8.4,34.5,-5.7,2008-01-01
Garrotxa,13.0,20.6,6.9,38.1,-6.1,2008-01-01
Gironès,15.0,21.6,9.3,37.1,-3.7,2008-01-01
Maresme,16.0,20.4,12.5,31.2,1.0,2008-01-01
Montsià,17.0,21.3,12.8,31.9,0.3,2008-01-01
Noguera,14.0,20.5,8.4,36.4,-5.5,2008-01-01
Osona,12.0,19.5,6.4,37.4,-7.4,2008-01-01
Pallars Jussà,12.0,19.9,6.0,38.7,-9.8,2008-01-01
Pallars Sobirà,11.462499999999999,19.724999999999998,5.768750000000001,34.262499999999996,-7.39375,2008-01-01
Pla d'Urgell,14.0,20.8,8.0,38.2,-5.3,2008-01-01
Pla de l'Estany,15.0,21.2,9.8,37.7,-2.5,2008-01-01
