subregion,annual_avg_temp,average_maximums,average_minimums,outright_maximum,outright_minimum,year
Baix Ebre,17.0,22.2,12.3,38.6,-1.6,2019-01-01
Baix Empordà,15.0,22.3,8.8,40.3,-3.1,2019-01-01
Baix Llobregat,16.0,22.3,11.2,35.2,-0.3,2019-01-01
Baix Penedès,16.0,22.7,10.5,37.1,-3.7,2019-01-01
Barcelonès,18.0,21.6,15.2,36.7,3.2,2019-01-01
Berguedà,12.0,19.8,7.0,41.5,-6.1,2019-01-01
Cerdanya,10.0,17.3,3.6,35.0,-9.5,2019-01-01
Conca de Barberà,14.0,20.7,8.3,39.9,-3.4,2019-01-01
Garraf,16.0,21.7,9.8,37.3,-3.3,2019-01-01
Garrigues,15.0,20.5,8.6,40.6,-5.7,2019-01-01
Garrotxa,14.0,21.6,6.4,42.2,-7.1,2019-01-01
Gironès,15.0,23.0,7.2,43.3,-7.9,2019-01-01
Maresme,16.0,20.8,12.1,33.9,0.6,2019-01-01
Moianès,13.7,18.7,8.6,35.1,-6.0,2019-01-01
Montsià,17.0,21.8,12.9,32.9,1.6,2019-01-01
Noguera,14.0,21.9,7.6,40.7,-7.1,2019-01-01
Osona,13.0,21.2,6.3,42.7,-7.3,2019-01-01
Pallars Jussà,13.0,21.3,6.5,40.2,-6.9,2019-01-01
Pallars Sobirà,12.0,20.3,5.2,37.4,-7.0,2019-01-01
Pla d'Urgell,15.0,21.8,7.7,42.1,-5.7,2019-01-01
Pla de l'Estany,16.0,22.2,10.2,41.2,-3.5,2019-01-01
Priorat,15.0,21.8,10.0,40.5,-5.0,2019-01-01
Ribera d'Ebre,17.0,24.1,9.8,43.5,-4.6,2019-01-01
Ripollès,11.0,18.1,4.1,37.4,-9.0,2019-01-01
Segarra,14.0,19.8,8.4,40.4,-5.6,2019-01-01
Segrià,14.0,21.2,7.7,40.6,-7.0,2019-01-01
Selva,15.0,22.9,7.7,43.2,-7.1,2019-01-01
Solsonès,13.0,21.0,6.4,41.7,-6.1,2019-01-01
Tarragonès,17.0,22.2,12.4,33.2,-1.1,2019-01-01
Terra Alta,15.0,21.2,9.6,40.4,-2.9,2019-01-01
Urgell,15.0,20.9,9.2,42.0,-5.0,2019-01-01
Vallès Occidental,15.0,21.7,9.3,41.3,-4.7,2019-01-01
Vallès Oriental,15.0,22.3,9.0,42.3,-5.8,2019-01-01
Alt Camp,16.0,21.6,10.9,36.3,0.1,2020-01-01
Alt Empordà,17.0,21.8,11.6,37.2,-2.6,2020-01-01
Alt Penedès,16.0,21.7,10.1,36.5,0.0,2020-01-01
Alt Urgell,12.0,19.5,5.9,36.6,-6.1,2020-01-01
Alta Ribagorça,11.0,19.6,3.7,36.1,-8.6,2020-01-01
Anoia,16.0,22.3,10.7,38.3,-0.6,2020-01-01
Aran,10.0,17.2,5.5,35.7,-9.1,2020-01-01
Bages,14.0,21.8,7.6,39.3,-5.3,2020-01-01
Baix Camp,17.0,22.1,11.9,34.6,-2.6,2020-01-01
Baix Ebre,17.0,22.1,12.6,35.8,-1.3,2020-01-01
Baix Empordà,15.0,22.2,9.3,37.5,-4.0,2020-01-01
Baix Llobregat,17.0,22.5,11.6,35.1,0.7,2020-01-01
Baix Penedès,17.0,22.9,10.9,35.9,-2.1,2020-01-01
Barcelonès,18.0,21.7,15.5,32.8,4.7,2020-01-01
Berguedà,12.0,18.8,7.6,36.4,-4.8,2020-01-01
Cerdanya,10.0,17.2,4.1,33.8,-8.1,2020-01-01
Conca de Barberà,14.0,20.3,8.6,38.0,-2.8,2020-01-01
Garraf,16.0,21.7,10.3,35.4,-2.2,2020-01-01
Garrigues,14.0,20.2,8.9,39.4,-3.9,2020-01-01
Garrotxa,14.0,20.8,7.2,35.9,-4.8,2020-01-01
Gironès,15.0,22.6,8.3,37.5,-5.5,2020-01-01
Maresme,17.0,21.0,12.5,33.3,1.8,2020-01-01
Moianès,13.7,18.7,8.6,35.1,-6.0,2020-01-01
Montsià,17.0,21.6,13.2,32.7,1.6,2020-01-01
Noguera,15.0,21.8,8.5,39.7,-4.6,2020-01-01
Osona,13.0,20.6,7.2,37.9,-4.9,2020-01-01
Pallars Jussà,13.0,20.7,7.1,37.9,-6.4,2020-01-01
Pallars Sobirà,12.0,19.7,5.7,35.0,-6.2,2020-01-01
Pla d'Urgell,15.0,21.5,8.5,39.4,-4.0,2020-01-01
Pla de l'Estany,16.0,21.7,10.6,38.2,-2.2,2020-01-01
Priorat,15.0,21.7,10.3,37.6,-4.2,2020-01-01
Ribera d'Ebre,17.0,23.6,10.4,40.3,-2.8,2020-01-01
Ripollès,11.0,17.3,5.0,32.9,-7.1,2020-01-01
Segarra,14.0,19.5,8.8,38.7,-5.1,2020-01-01
Segrià,14.0,20.8,8.8,39.4,-4.8,2020-01-01
Selva,15.0,22.4,9.1,37.5,-3.2,2020-01-01
Solsonès,13.0,20.5,7.0,39.3,-4.1,2020-01-01
Tarragonès,17.0,22.1,12.9,34.3,0.1,2020-01-01
Terra Alta,15.0,20.7,9.7,38.1,-2.9,2020-01-01
Urgell,15.0,20.6,9.6,40.1,-5.6,2020-01-01
Vallès Occidental,15.0,21.5,9.6,37.2,-2.4,2020-01-01
Vallès Oriental,16.0,22.1,9.5,36.5,-2.7,2020-01-01
Alt Camp,16.0,21.3,10.8,37.9,-1.2,2021-01-01
Alt Empordà,17.0,21.4,11.7,37.6,-3.8,2021-01-01
Alt Penedès,15.0,21.3,10.0,37.5,-3.2,2021-01-01
Alt Urgell,12.0,19.5,5.4,39.8,-10.1,2021-01-01
Alta Ribagorça,10.0,19.1,2.9,38.4,-13.2,2021-01-01
Anoia,16.0,22.2,10.5,39.3,-3.7,2021-01-01
Aran,10.0,16.4,4.7,37.1,-10.3,2021-01-01
Bages,14.0,21.9,7.2,41.6,-6.7,2021-01-01
Baix Camp,17.0,21.6,11.8,34.8,-3.0,2021-01-01
Baix Ebre,16.0,21.2,12.3,36.3,-0.3,2021-01-01
Baix Empordà,15.0,21.8,9.1,38.8,-4.8,2021-01-01
Baix Llobregat,16.0,22.1,11.2,35.7,-2.6,2021-01-01
Baix Penedès,16.0,22.2,10.8,35.3,-3.5,2021-01-01
Barcelonès,18.0,21.0,15.2,35.0,3.6,2021-01-01
Berguedà,12.0,18.8,7.1,39.8,-6.0,2021-01-01
Cerdanya,10.0,16.8,3.5,36.0,-11.7,2021-01-01
Conca de Barberà,14.0,19.9,8.4,38.7,-5.0,2021-01-01
Garraf,16.0,21.4,10.2,36.5,-3.2,2021-01-01
Garrigues,14.0,19.6,8.5,39.0,-5.4,2021-01-01
Garrotxa,13.0,20.5,6.7,38.0,-7.6,2021-01-01
Gironès,15.0,22.3,7.7,38.7,-6.0,2021-01-01
Maresme,16.0,20.4,12.3,32.2,0.3,2021-01-01
Moianès,13.7,18.7,8.6,35.1,-6.0,2021-01-01
Montsià,17.0,21.0,13.0,37.6,0.1,2021-01-01
Noguera,14.0,21.5,8.1,39.2,-6.2,2021-01-01
Osona,13.0,20.9,6.6,42.5,-7.4,2021-01-01
Pallars Jussà,13.0,20.6,6.5,41.8,-9.3,2021-01-01
Pallars Sobirà,12.0,19.6,5.1,37.8,-8.8,2021-01-01
Pla d'Urgell,14.0,21.2,7.9,39.2,-7.7,2021-01-01
Pla de l'Estany,15.0,21.4,10.3,40.0,-2.6,2021-01-01
Priorat,15.0,20.9,9.8,39.4,-5.4,2021-01-01
Ribera d'Ebre,16.0,22.9,10.1,40.7,-7.4,2021-01-01
Ripollès,10.0,16.8,4.9,33.6,-11.0,2021-01-01
Segarra,13.0,19.3,8.4,41.2,-6.7,2021-01-01
Segrià,14.0,20.6,7.9,37.7,-8.4,2021-01-01
Selva,15.0,22.1,8.6,40.6,-4.2,2021-01-01
Solsonès,13.0,20.6,6.6,41.7,-8.6,2021-01-01
Tarragonès,17.0,21.5,12.8,34.5,-2.1,2021-01-01
Terra Alta,14.0,20.0,9.4,39.6,-2.3,2021-01-01
Urgell,14.0,20.4,9.2,41.2,-7.2,2021-01-01
Vallès Occidental,15.0,21.1,9.4,38.0,-4.6,2021-01-01
Vallès Oriental,15.0,21.8,9.2,37.9,-5.1,2021-01-01
